index,umap1,umap2
CD141_P10_S73-batch1,-0.31654558,1.2915947
CD141_P10_S74-batch1,0.93345296,2.8723373
CD141_P10_S75-batch1,-2.1690047,1.8342966
CD141_P10_S76-batch1,-1.5659331,3.4000366
CD141_P10_S77-batch1,-2.4325874,1.8274074
CD141_P10_S78-batch1,0.54520565,1.9016486
CD141_P10_S79-batch1,-2.294355,1.9249913
CD141_P10_S80-batch1,-2.1278465,2.1614668
CD141_P10_S81-batch1,1.3846066,2.7695222
CD141_P10_S82-batch1,-0.22648636,1.4578301
CD141_P10_S83-batch1,-1.6895063,3.9324658
CD141_P10_S84-batch1,-0.19921991,1.1456511
CD141_P10_S85-batch1,-1.5517055,2.209094
CD141_P10_S86-batch1,-2.0144496,2.915726
CD141_P10_S87-batch1,1.606036,2.5823274
CD141_P10_S88-batch1,-1.9565471,2.5683043
CD141_P10_S89-batch1,-1.5587653,1.2542814
CD141_P10_S90-batch1,1.0794761,2.4970188
CD141_P10_S91-batch1,-2.639115,2.6882608
CD141_P10_S92-batch1,-2.5140696,1.7267051
CD141_P10_S93-batch1,-2.6113613,2.7012026
CD141_P10_S94-batch1,-2.2862492,2.5382128
CD141_P10_S95-batch1,-1.4007072,1.5206474
CD141_P10_S96-batch1,-2.4922864,2.1168349
CD141_P7_S10-batch1,-0.8751245,-0.6546144
CD141_P7_S11-batch1,-0.16008238,1.0530229
CD141_P7_S12-batch1,0.030588467,2.2760231
CD141_P7_S13-batch1,-1.1194284,-0.60730076
CD141_P7_S14-batch1,-1.0843737,-0.29240158
CD141_P7_S15-batch1,-1.343366,0.07781524
CD141_P7_S16-batch1,-1.7393306,-0.001266935
CD141_P7_S17-batch1,-0.2393479,-0.45466954
CD141_P7_S18-batch1,-1.3117434,-0.13782224
CD141_P7_S19-batch1,-1.6026863,-0.35987484
CD141_P7_S1-batch1,-0.39816138,0.5282623
CD141_P7_S20-batch1,-2.068762,0.31546307
CD141_P7_S21-batch1,-1.5359311,-0.1822304
CD141_P7_S22-batch1,-0.4908379,-0.49590957
CD141_P7_S23-batch1,-0.6870215,0.050668724
CD141_P7_S24-batch1,0.58538425,2.6899564
CD141_P7_S2-batch1,-2.5769367,0.52320385
CD141_P7_S3-batch1,-0.42341208,0.5959811
CD141_P7_S4-batch1,-1.6122848,0.3257062
CD141_P7_S5-batch1,-0.14307302,-0.54522526
CD141_P7_S6-batch1,-0.19178677,1.0733547
CD141_P7_S7-batch1,0.88767093,1.4742908
CD141_P7_S8-batch1,-0.07214376,-0.36519468
CD141_P7_S9-batch1,-0.009324579,0.5500507
CD141_P8_S25-batch1,-0.95494455,0.6707719
CD141_P8_S26-batch1,-1.6140783,0.7305944
CD141_P8_S27-batch1,-1.6200769,0.9760302
CD141_P8_S28-batch1,-1.7074804,0.9252417
CD141_P8_S30-batch1,-0.26697916,-0.22868077
CD141_P8_S31-batch1,-1.0344307,0.39853647
