index,umap1,umap2
CD141_P10_S73-batch1,2.2178037,-3.376814
CD141_P10_S74-batch1,-0.53894204,5.4353333
CD141_P10_S75-batch1,3.6920683,-3.8794854
CD141_P10_S76-batch1,3.946409,-4.499403
CD141_P10_S77-batch1,3.6593456,-3.5916438
CD141_P10_S78-batch1,-1.1088209,5.4992223
CD141_P10_S79-batch1,4.2591233,-3.8375487
CD141_P10_S80-batch1,3.86855,-3.9853005
CD141_P10_S81-batch1,-0.21257806,5.7404594
CD141_P10_S82-batch1,2.0120647,-2.8501368
CD141_P10_S83-batch1,4.162013,-4.548332
CD141_P10_S84-batch1,2.1782753,-2.72106
CD141_P10_S85-batch1,2.791242,-3.8302984
CD141_P10_S86-batch1,3.8604116,-4.5289674
CD141_P10_S87-batch1,-0.1722624,5.906058
CD141_P10_S88-batch1,3.9599507,-4.164328
CD141_P10_S89-batch1,3.4713385,-3.0936015
CD141_P10_S90-batch1,-0.6380254,5.598326
CD141_P10_S91-batch1,4.567484,-3.5498338
CD141_P10_S92-batch1,3.3865306,-3.8510728
CD141_P10_S93-batch1,4.1650167,-4.1976595
CD141_P10_S94-batch1,4.3667655,-3.5119145
CD141_P10_S95-batch1,2.7750034,-3.4814053
CD141_P10_S96-batch1,4.2748246,-3.903251
CD141_P7_S10-batch1,2.8656168,-1.8851228
CD141_P7_S11-batch1,2.448596,-2.9378872
CD141_P7_S12-batch1,-0.992551,4.349143
CD141_P7_S13-batch1,3.2528696,-1.8376983
CD141_P7_S14-batch1,3.6670258,-2.4749362
CD141_P7_S15-batch1,3.0995016,-2.2967088
CD141_P7_S16-batch1,3.7713919,-1.9379714
CD141_P7_S17-batch1,2.1654754,-0.86766654
CD141_P7_S18-batch1,3.2780366,-1.6508553
CD141_P7_S19-batch1,3.4572234,-2.0704734
CD141_P7_S1-batch1,3.887921,-1.7156926
CD141_P7_S20-batch1,3.2977772,-2.943938
CD141_P7_S21-batch1,2.7753916,-2.2496939
CD141_P7_S22-batch1,2.3357654,-1.5932078
CD141_P7_S23-batch1,2.2779727,-2.0666156
CD141_P7_S24-batch1,-0.48487422,5.13125
CD141_P7_S2-batch1,4.3373837,-2.7735248
CD141_P7_S3-batch1,3.2635646,-1.939175
CD141_P7_S4-batch1,3.3416364,-1.9676601
CD141_P7_S5-batch1,2.4095643,-1.1283646
CD141_P7_S6-batch1,3.6648073,-1.7947485
CD141_P7_S7-batch1,-1.0597243,5.880849
CD141_P7_S8-batch1,2.5696478,-1.455411
CD141_P7_S9-batch1,3.4178612,-1.5136095
CD141_P8_S25-batch1,4.0884666,-2.097884
CD141_P8_S26-batch1,3.8112106,-2.4678044
CD141_P8_S27-batch1,3.2559376,-2.3698163
CD141_P8_S28-batch1,4.120269,-2.9039886
CD141_P8_S30-batch1,2.302684,-1.6382117
CD141_P8_S31-batch1,2.8460763,-2.357049
CD141_P8_S32-batch1,3.4635963,-2.272237
CD141_P8_S33-batch1,3.7375953,-2.9361124
CD141_P8_S34-batch1,4.280685,-3.175705
CD141_P8_S35-batch1,2.6923003,-2.6105762
CD141_P8_S36-batch1,3.6722653,-3.10879
CD141_P8_S37-batch1,3.4808614,-1.6908202
CD141_P8_S38-batch1,2.9842517,-1.8305256
CD141_P8_S39-batch1,3.5389698,-2.59238
CD141_P8_S40-batch1,3.0884347,-2.7244647
CD141_P8_S42-batch1,-1.0863332,5.7020497
CD141_P8_S43-batch1,3.016066,-2.9814448
CD141_P8_S44-batch1,2.51253,-2.306303
CD141_P8_S45-batch1,2.8732922,-1.2397352
CD141_P8_S46-batch1,3.093033,-2.3683383
CD141_P8_S47-batch1,4.159137,-2.9659684
CD141_P8_S48-batch1,4.238775,-2.7952025
