index,umap1,umap2
CD141_P10_S73-batch1,-0.17076494,-7.680954
CD141_P10_S74-batch1,8.802218,10.798184
CD141_P10_S75-batch1,1.38721,-8.736578
CD141_P10_S76-batch1,1.12449,-9.492169
CD141_P10_S77-batch1,1.3969394,-8.49547
CD141_P10_S78-batch1,9.53472,11.382892
CD141_P10_S79-batch1,1.5764352,-9.209712
CD141_P10_S80-batch1,1.0905383,-8.8902
CD141_P10_S81-batch1,8.894387,10.847953
CD141_P10_S82-batch1,-0.16136125,-7.281619
CD141_P10_S83-batch1,1.0619903,-9.542469
CD141_P10_S84-batch1,0.14715016,-7.2196836
CD141_P10_S85-batch1,0.4268583,-8.472029
CD141_P10_S86-batch1,0.87114894,-9.397663
CD141_P10_S87-batch1,8.545915,10.60583
CD141_P10_S88-batch1,1.1451263,-8.832089
CD141_P10_S89-batch1,1.1491934,-7.801503
CD141_P10_S90-batch1,9.107367,11.715379
CD141_P10_S91-batch1,1.7418162,-8.544408
CD141_P10_S92-batch1,0.9330673,-8.501814
CD141_P10_S93-batch1,1.3540145,-9.139482
CD141_P10_S94-batch1,1.9160866,-8.192089
CD141_P10_S95-batch1,0.69720817,-8.293096
CD141_P10_S96-batch1,1.4092859,-9.37279
CD141_P7_S10-batch1,0.8769567,-6.5553255
CD141_P7_S11-batch1,0.0042879297,-7.18323
CD141_P7_S12-batch1,9.668228,11.281331
CD141_P7_S13-batch1,0.883045,-6.8648233
CD141_P7_S14-batch1,1.7449157,-7.4488387
CD141_P7_S15-batch1,1.3164967,-6.873613
CD141_P7_S16-batch1,1.5764427,-6.7710896
CD141_P7_S17-batch1,0.2943756,-5.662824
CD141_P7_S18-batch1,1.3540497,-6.416991
CD141_P7_S19-batch1,1.4498874,-7.027521
CD141_P7_S1-batch1,1.7373507,-6.616477
CD141_P7_S20-batch1,1.3928324,-7.8024087
CD141_P7_S21-batch1,0.86492753,-7.0530534
CD141_P7_S22-batch1,0.36660498,-6.3371296
CD141_P7_S23-batch1,0.19454095,-6.803989
CD141_P7_S24-batch1,9.331107,11.285356
CD141_P7_S2-batch1,2.0735068,-7.5455036
CD141_P7_S3-batch1,0.85491955,-6.680967
CD141_P7_S4-batch1,1.2565465,-6.792647
CD141_P7_S5-batch1,0.51746875,-6.0381904
CD141_P7_S6-batch1,1.5079685,-6.5639534
CD141_P7_S7-batch1,9.408409,11.730567
CD141_P7_S8-batch1,0.40648988,-6.1882186
CD141_P7_S9-batch1,1.2371618,-6.2676344
CD141_P8_S25-batch1,1.7691437,-6.9541836
CD141_P8_S26-batch1,1.6117321,-7.1444855
CD141_P8_S27-batch1,1.0962251,-7.4472303
CD141_P8_S28-batch1,2.0269392,-7.552547
CD141_P8_S30-batch1,0.1483237,-6.3787074
CD141_P8_S31-batch1,0.9192636,-7.2116156
CD141_P8_S32-batch1,1.9830186,-7.2971654
CD141_P8_S33-batch1,1.4787898,-7.7112255
CD141_P8_S34-batch1,1.8120557,-8.272658
CD141_P8_S35-batch1,0.29435217,-7.1236024
CD141_P8_S36-batch1,1.5874065,-8.046391
CD141_P8_S37-batch1,1.0793608,-6.565401
CD141_P8_S38-batch1,0.6223983,-6.696067
CD141_P8_S39-batch1,1.4064418,-7.3122654
CD141_P8_S40-batch1,1.3360939,-7.554398
CD141_P8_S42-batch1,8.968048,11.417806
CD141_P8_S43-batch1,1.0489296,-7.8515997
CD141_P8_S44-batch1,0.6298665,-6.906113
CD141_P8_S45-batch1,1.111493,-6.001894
CD141_P8_S46-batch1,1.1027672,-7.322159
CD141_P8_S47-batch1,1.8955417,-7.904865
CD141_P8_S48-batch1,2.159057,-7.4311943
CD141_P9_S49-batch1,1.4969878,-8.1106825
CD141_P9_S50-batch1,-0.2068973,-8.176583
CD141_P9_S51-batch1,9.01473,11.124039
CD141_P9_S52-batch1,0.40997854,-8.80488
CD141_P9_S53-batch1,-0.042389955,-8.279259
CD141_P9_S54-batch1,-0.05801197,-8.459131
CD141_P9_S55-batch1,0.5527835,-8.144218
CD141_P9_S56-batch1,0.8595972,-8.736289
CD141_P9_S57-batch1,1.6637472,-7.8991466
CD141_P9_S58-batch1,0.16469154,-8.280484
CD141_P9_S59-batch1,0.93037957,-7.656691
CD141_P9_S60-batch1,11.493645,0.13263184
CD141_P9_S61-batch1,0.87212944,-8.413913
CD141_P9_S62-batch1,0.24781455,-7.935811
CD141_P9_S63-batch1,0.38715598,-7.99358
CD141_P9_S64-batch1,0.7393721,-8.720309
CD141_P9_S65-batch1,0.30107623,-8.58541
CD141_P9_S66-batch1,0.30922803,-9.058813
CD141_P9_S67-batch1,0.7990539,-8.206099
CD141_P9_S68-batch1,0.63464046,-8.474434
CD141_P9_S69-batch1,0.97690594,-7.7200184
CD141_P9_S70-batch1,9.214702,10.996734
CD141_P9_S71-batch1,1.161541,-8.8728485
CD141_P9_S72-batch1,1.4718692,-9.45615
pDC_P10_S73-batch1,1.6670551,9.024537
pDC_P10_S74-batch1,1.9914002,9.4044
pDC_P10_S75-batch1,1.8496807,8.597681
pDC_P10_S76-batch1,1.7816608,9.051801
pDC_P10_S77-batch1,1.6518687,9.945416
pDC_P10_S78-batch1,2.0101173,10.126161
pDC_P10_S79-batch1,2.1348944,9.59595
pDC_P10_S80-batch1,1.5165851,8.616359
pDC_P10_S81-batch1,1.9389921,8.446317
pDC_P10_S82-batch1,2.5420074,9.353657
pDC_P10_S83-batch1,2.9581282,8.486845
pDC_P10_S84-batch1,2.8047254,7.973825
pDC_P10_S85-batch1,2.4110096,8.021857
pDC_P10_S86-batch1,2.2457016,8.627075
pDC_P10_S87-batch1,1.7068315,8.869092
pDC_P10_S88-batch1,1.7950356,8.744447
pDC_P10_S89-batch1,8.769207,11.041289
pDC_P10_S90-batch1,2.2473836,9.745383
pDC_P10_S91-batch1,1.26365,8.735793
pDC_P10_S92-batch1,1.343217,8.484758
pDC_P10_S93-batch1,2.0249856,8.922659
pDC_P10_S94-batch1,8.829331,11.161234
pDC_P10_S95-batch1,1.8344042,8.990493
pDC_P10_S96-batch1,11.323832,-0.48621827
pDC_P7_S10-batch1,8.821987,11.560633
pDC_P7_S11-batch1,2.5580697,10.33505
pDC_P7_S12-batch1,1.9145892,11.006905
pDC_P7_S13-batch1,2.4043736,10.121985
pDC_P7_S14-batch1,2.7136457,10.536818
pDC_P7_S15-batch1,9.308453,11.624266
pDC_P7_S16-batch1,8.98426,11.580516
pDC_P7_S17-batch1,2.6504314,11.143255
pDC_P7_S18-batch1,2.2139618,10.384077
pDC_P7_S19-batch1,2.3267007,10.824763
pDC_P7_S1-batch1,1.8070647,10.789454
pDC_P7_S20-batch1,2.3916383,9.608674
pDC_P7_S21-batch1,2.629005,10.690417
pDC_P7_S22-batch1,3.3041906,10.383246
pDC_P7_S23-batch1,2.064649,9.453688
pDC_P7_S24-batch1,2.0699222,10.532322
