index,umap1,umap2
CD141_P10_S73-batch1,1.4924526,14.421001
CD141_P10_S74-batch1,1.3715994,11.778109
CD141_P10_S75-batch1,0.086331874,13.982682
CD141_P10_S76-batch1,0.45575345,13.747636
CD141_P10_S77-batch1,1.0493692,14.306538
CD141_P10_S78-batch1,1.5985309,12.4236965
CD141_P10_S79-batch1,0.64867806,13.630804
CD141_P10_S80-batch1,0.45653656,13.766722
CD141_P10_S81-batch1,1.3427892,11.904913
CD141_P10_S82-batch1,1.1626093,14.767126
CD141_P10_S83-batch1,0.43304697,13.659693
CD141_P10_S84-batch1,0.59788233,14.419241
CD141_P10_S85-batch1,0.41503778,13.864776
CD141_P10_S86-batch1,0.13855667,14.39344
CD141_P10_S87-batch1,1.5790701,11.803445
CD141_P10_S88-batch1,0.7530894,14.609278
CD141_P10_S89-batch1,0.55096984,13.99587
CD141_P10_S90-batch1,1.5568545,12.03883
CD141_P10_S91-batch1,0.29286095,13.941547
CD141_P10_S92-batch1,0.71040094,15.057292
CD141_P10_S93-batch1,0.7157884,13.559114
CD141_P10_S94-batch1,0.6706945,13.522932
CD141_P10_S95-batch1,1.4994805,14.10741
CD141_P10_S96-batch1,1.2258221,13.773462
CD141_P7_S10-batch1,1.6505059,14.4349375
CD141_P7_S11-batch1,1.0232809,14.994018
CD141_P7_S12-batch1,1.292909,12.235563
CD141_P7_S13-batch1,0.83476573,13.618122
CD141_P7_S14-batch1,1.0647411,14.088069
CD141_P7_S15-batch1,1.2453245,14.189412
CD141_P7_S16-batch1,0.75481045,14.546476
CD141_P7_S17-batch1,2.120553,15.915191
CD141_P7_S18-batch1,1.0408359,15.055606
CD141_P7_S19-batch1,0.7847363,14.494787
CD141_P7_S1-batch1,0.407301,14.773257
CD141_P7_S20-batch1,1.1112298,14.4385805
CD141_P7_S21-batch1,1.2698089,14.714937
CD141_P7_S22-batch1,1.6681868,14.4140835
CD141_P7_S23-batch1,0.6561815,14.80004
CD141_P7_S24-batch1,1.5259542,12.722896
CD141_P7_S2-batch1,0.8823381,13.691149
CD141_P7_S3-batch1,0.95027566,14.642726
CD141_P7_S4-batch1,1.1370033,14.437266
CD141_P7_S5-batch1,1.4486239,14.879353
CD141_P7_S6-batch1,1.132691,15.036412
CD141_P7_S7-batch1,1.7182875,12.145006
CD141_P7_S8-batch1,1.6194061,14.813305
CD141_P7_S9-batch1,0.8412215,14.359998
CD141_P8_S25-batch1,1.1913586,13.726508
CD141_P8_S26-batch1,1.2722026,13.8032875
CD141_P8_S27-batch1,0.87821364,14.039508
CD141_P8_S28-batch1,0.7153553,14.092208
CD141_P8_S30-batch1,1.7177203,14.60204
CD141_P8_S31-batch1,0.75031006,14.849284
CD141_P8_S32-batch1,1.3252413,14.3806095
CD141_P8_S33-batch1,0.6857561,14.874848
CD141_P8_S34-batch1,0.87981176,13.760721
CD141_P8_S35-batch1,1.2724528,14.277722
CD141_P8_S36-batch1,1.0749322,14.078017
CD141_P8_S37-batch1,1.5086799,14.360977
CD141_P8_S38-batch1,1.6085334,14.5976305
CD141_P8_S39-batch1,1.1520895,14.496305
CD141_P8_S40-batch1,1.134097,14.351794
CD141_P8_S42-batch1,1.456834,12.184941
CD141_P8_S43-batch1,0.7641713,14.189354
CD141_P8_S44-batch1,1.3571382,14.240942
CD141_P8_S45-batch1,1.5739763,15.331796
CD141_P8_S46-batch1,1.300288,15.014444
CD141_P8_S47-batch1,1.6029854,14.121871
CD141_P8_S48-batch1,0.5924815,14.165608
CD141_P9_S49-batch1,0.76474833,14.492624
CD141_P9_S50-batch1,0.8435557,15.021104
CD141_P9_S51-batch1,2.150292,11.182157
CD141_P9_S52-batch1,0.13429165,14.055799
CD141_P9_S53-batch1,1.5862066,14.939426
CD141_P9_S54-batch1,1.0077606,14.847321
CD141_P9_S55-batch1,0.32147536,14.38545
CD141_P9_S56-batch1,0.20372054,14.495607
CD141_P9_S57-batch1,0.9233071,13.839732
CD141_P9_S58-batch1,0.6314754,14.345393
CD141_P9_S59-batch1,0.9668268,14.138545
CD141_P9_S60-batch1,6.125091,9.635624
CD141_P9_S61-batch1,0.9359364,14.451636
CD141_P9_S62-batch1,0.8752754,14.789944
CD141_P9_S63-batch1,1.3757623,14.93576
CD141_P9_S64-batch1,0.043807823,14.0136795
CD141_P9_S65-batch1,0.20490807,14.112679
CD141_P9_S66-batch1,0.14319524,14.229191
CD141_P9_S67-batch1,0.37713432,14.012615
CD141_P9_S68-batch1,0.59052444,14.69054
CD141_P9_S69-batch1,0.72276837,13.659407
CD141_P9_S70-batch1,1.6001717,12.033991
CD141_P9_S71-batch1,1.0634907,14.888337
CD141_P9_S72-batch1,0.030303383,13.861535
pDC_P10_S73-batch1,2.1887074,8.111808
pDC_P10_S74-batch1,2.1596663,7.1475425
pDC_P10_S75-batch1,1.9296025,7.749275
pDC_P10_S76-batch1,3.1855555,6.850774
pDC_P10_S77-batch1,2.271506,7.7575336
pDC_P10_S78-batch1,3.759814,7.9794426
pDC_P10_S79-batch1,4.132981,9.465247
pDC_P10_S80-batch1,2.381733,6.520005
pDC_P10_S81-batch1,2.6694698,6.5815268
pDC_P10_S82-batch1,3.2242851,7.624548
pDC_P10_S83-batch1,3.246388,7.8424
pDC_P10_S84-batch1,2.4816146,7.5831347
pDC_P10_S85-batch1,3.6337411,8.89847
pDC_P10_S86-batch1,2.8518188,7.360115
pDC_P10_S87-batch1,1.7754881,7.5982637
pDC_P10_S88-batch1,2.8057728,6.976289
pDC_P10_S89-batch1,1.6588594,11.279507
pDC_P10_S90-batch1,2.3116815,7.770385
pDC_P10_S91-batch1,2.7419057,6.7971363
pDC_P10_S92-batch1,3.0241065,6.6403947
pDC_P10_S93-batch1,2.4973447,7.5613985
pDC_P10_S94-batch1,1.4947428,11.6567745
pDC_P10_S95-batch1,4.692498,8.543549
pDC_P10_S96-batch1,6.097162,9.839911
pDC_P7_S10-batch1,1.7602417,11.681724
pDC_P7_S11-batch1,2.6944766,7.0874615
pDC_P7_S12-batch1,3.0655384,7.078403
pDC_P7_S13-batch1,2.39707,6.7362957
pDC_P7_S14-batch1,2.895825,6.716431
pDC_P7_S15-batch1,1.670376,11.569371
pDC_P7_S16-batch1,1.8110873,11.911712
pDC_P7_S17-batch1,1.8837408,6.8842335
pDC_P7_S18-batch1,2.0001345,6.8328657
pDC_P7_S19-batch1,2.0775177,6.7051187
pDC_P7_S1-batch1,3.9569354,7.6060433
pDC_P7_S20-batch1,3.1573195,7.941789
pDC_P7_S21-batch1,1.813693,7.0076485
pDC_P7_S22-batch1,2.061024,7.371372
pDC_P7_S23-batch1,2.588819,6.777577
pDC_P7_S24-batch1,2.1172452,7.3298917
pDC_P7_S2-batch1,2.2975166,7.2221994
pDC_P7_S3-batch1,2.3652635,7.8853927
pDC_P7_S4-batch1,2.4686205,6.9853354
pDC_P7_S5-batch1,1.9434742,6.9549003
pDC_P7_S6-batch1,2.3957224,7.712003
pDC_P7_S7-batch1,2.9299185,7.088821
pDC_P7_S8-batch1,2.9939113,6.62823
pDC_P7_S9-batch1,2.943024,6.6930413
pDC_P8_S25-batch1,2.0671952,7.580774
pDC_P8_S26-batch1,2.290972,7.6872478
pDC_P8_S27-batch1,2.2610722,7.1350217
pDC_P8_S28-batch1,2.162869,6.842957
pDC_P8_S30-batch1,2.938304,7.878891
pDC_P8_S31-batch1,3.363661,7.358051
pDC_P8_S32-batch1,2.5620093,6.6445312
pDC_P8_S33-batch1,2.2836573,7.6391916
pDC_P8_S34-batch1,2.774656,7.602923
pDC_P8_S35-batch1,1.6359597,12.270033
pDC_P8_S36-batch1,3.67103,8.436058
pDC_P8_S37-batch1,2.1891053,7.464419
pDC_P8_S38-batch1,2.230428,7.2898498
pDC_P8_S39-batch1,2.1603093,6.7486024
pDC_P8_S40-batch1,2.866982,8.429442
pDC_P8_S42-batch1,2.544572,7.6905727
pDC_P8_S43-batch1,4.3207493,8.079368
pDC_P8_S44-batch1,2.753994,7.1643705
pDC_P8_S45-batch1,3.2890189,6.776313
pDC_P8_S46-batch1,1.8378007,6.945527
pDC_P8_S47-batch1,4.3918114,9.660733
pDC_P8_S48-batch1,3.1787078,7.8107905
pDC_P9_S49-batch1,1.9956818,7.459464
pDC_P9_S50-batch1,2.4945924,6.706341
pDC_P9_S51-batch1,1.8395824,6.981677
pDC_P9_S52-batch1,3.2806416,7.0609837
pDC_P9_S53-batch1,6.5346,9.880682
pDC_P9_S54-batch1,3.1662369,7.2824197
pDC_P9_S55-batch1,2.8206713,8.171767
pDC_P9_S56-batch1,3.91837,8.746278
pDC_P9_S57-batch1,4.5232005,8.826598
pDC_P9_S58-batch1,2.9937835,7.774743
pDC_P9_S59-batch1,2.9791992,7.2021513
pDC_P9_S60-batch1,3.9116962,9.448658
pDC_P9_S61-batch1,4.3495927,7.80634
pDC_P9_S62-batch1,6.398195,9.921644
pDC_P9_S63-batch1,3.0925515,6.6042123
pDC_P9_S64-batch1,3.1769896,6.9014263
pDC_P9_S65-batch1,2.1728306,6.815562
pDC_P9_S66-batch1,3.1262195,6.7661767
pDC_P9_S67-batch1,2.9086232,8.283545
pDC_P9_S68-batch1,1.9473329,7.279849
pDC_P9_S69-batch1,3.4854603,7.984446
pDC_P9_S70-batch1,3.863651,7.863942
pDC_P9_S71-batch1,3.3704598,7.612328
pDC_P9_S72-batch1,3.4453635,7.0982356
DoubleNeg_P10_S73-batch1,13.414345,8.421782
DoubleNeg_P10_S74-batch1,14.552724,8.251725
DoubleNeg_P10_S75-batch1,12.97285,8.698936
