index,celltype
CD141_P10_S73,CD141
CD141_P10_S74,CD141
CD141_P10_S75,CD141
CD141_P10_S76,CD141
CD141_P10_S77,CD141
CD141_P10_S78,CD141
CD141_P10_S79,CD141
CD141_P10_S80,CD141
CD141_P10_S81,CD141
CD141_P10_S82,CD141
CD141_P10_S83,CD141
CD141_P10_S84,CD141
CD141_P10_S85,CD141
CD141_P10_S86,CD141
CD141_P10_S87,CD141
CD141_P10_S88,CD141
CD141_P10_S89,CD141
CD141_P10_S90,CD141
CD141_P10_S91,CD141
CD141_P10_S92,CD141
CD141_P10_S93,CD141
CD141_P10_S94,CD141
CD141_P10_S95,CD141
CD141_P10_S96,CD141
CD141_P7_S10,CD141
CD141_P7_S11,CD141
CD141_P7_S12,CD141
CD141_P7_S13,CD141
CD141_P7_S14,CD141
CD141_P7_S15,CD141
CD141_P7_S16,CD141
CD141_P7_S17,CD141
CD141_P7_S18,CD141
CD141_P7_S19,CD141
CD141_P7_S1,CD141
CD141_P7_S20,CD141
CD141_P7_S21,CD141
CD141_P7_S22,CD141
CD141_P7_S23,CD141
CD141_P7_S24,CD141
CD141_P7_S2,CD141
CD141_P7_S3,CD141
CD141_P7_S4,CD141
CD141_P7_S5,CD141
CD141_P7_S6,CD141
CD141_P7_S7,CD141
CD141_P7_S8,CD141
CD141_P7_S9,CD141
CD141_P8_S25,CD141
CD141_P8_S26,CD141
CD141_P8_S27,CD141
CD141_P8_S28,CD141
CD141_P8_S29,CD141
CD141_P8_S30,CD141
CD141_P8_S31,CD141
CD141_P8_S32,CD141
CD141_P8_S33,CD141
CD141_P8_S34,CD141
CD141_P8_S35,CD141
CD141_P8_S36,CD141
CD141_P8_S37,CD141
CD141_P8_S38,CD141
CD141_P8_S39,CD141
CD141_P8_S40,CD141
CD141_P8_S41,CD141
CD141_P8_S42,CD141
CD141_P8_S43,CD141
CD141_P8_S44,CD141
CD141_P8_S45,CD141
CD141_P8_S46,CD141
CD141_P8_S47,CD141
CD141_P8_S48,CD141
CD141_P9_S49,CD141
CD141_P9_S50,CD141
CD141_P9_S51,CD141
CD141_P9_S52,CD141
CD141_P9_S53,CD141
CD141_P9_S54,CD141
CD141_P9_S55,CD141
CD141_P9_S56,CD141
CD141_P9_S57,CD141
CD141_P9_S58,CD141
CD141_P9_S59,CD141
CD141_P9_S60,CD141
CD141_P9_S61,CD141
CD141_P9_S62,CD141
CD141_P9_S63,CD141
CD141_P9_S64,CD141
CD141_P9_S65,CD141
CD141_P9_S66,CD141
CD141_P9_S67,CD141
CD141_P9_S68,CD141
CD141_P9_S69,CD141
CD141_P9_S70,CD141
CD141_P9_S71,CD141
CD141_P9_S72,CD141
pDC_P10_S73,pDC
pDC_P10_S74,pDC
pDC_P10_S75,pDC
pDC_P10_S76,pDC
pDC_P10_S77,pDC
pDC_P10_S78,pDC
pDC_P10_S79,pDC
pDC_P10_S80,pDC
pDC_P10_S81,pDC
pDC_P10_S82,pDC
pDC_P10_S83,pDC
pDC_P10_S84,pDC
pDC_P10_S85,pDC
pDC_P10_S86,pDC
pDC_P10_S87,pDC
pDC_P10_S88,pDC
pDC_P10_S89,pDC
pDC_P10_S90,pDC
pDC_P10_S91,pDC
pDC_P10_S92,pDC
pDC_P10_S93,pDC
pDC_P10_S94,pDC
pDC_P10_S95,pDC
pDC_P10_S96,pDC
pDC_P7_S10,pDC
pDC_P7_S11,pDC
pDC_P7_S12,pDC
pDC_P7_S13,pDC
pDC_P7_S14,pDC
pDC_P7_S15,pDC
pDC_P7_S16,pDC
pDC_P7_S17,pDC
pDC_P7_S18,pDC
pDC_P7_S19,pDC
pDC_P7_S1,pDC
pDC_P7_S20,pDC
pDC_P7_S21,pDC
pDC_P7_S22,pDC
pDC_P7_S23,pDC
pDC_P7_S24,pDC
pDC_P7_S2,pDC
pDC_P7_S3,pDC
pDC_P7_S4,pDC
pDC_P7_S5,pDC
pDC_P7_S6,pDC
pDC_P7_S7,pDC
pDC_P7_S8,pDC
pDC_P7_S9,pDC
pDC_P8_S25,pDC
pDC_P8_S26,pDC
pDC_P8_S27,pDC
pDC_P8_S28,pDC
pDC_P8_S29,pDC
pDC_P8_S30,pDC
pDC_P8_S31,pDC
pDC_P8_S32,pDC
pDC_P8_S33,pDC
pDC_P8_S34,pDC
pDC_P8_S35,pDC
pDC_P8_S36,pDC
pDC_P8_S37,pDC
pDC_P8_S38,pDC
pDC_P8_S39,pDC
pDC_P8_S40,pDC
pDC_P8_S41,pDC
pDC_P8_S42,pDC
pDC_P8_S43,pDC
pDC_P8_S44,pDC
